latitude,longitude
63.2759,-150.5587
56.509,-156.4504
36.0143333,-120.6266667
37.3596667,-119.9995
38.7866669,-122.7366638
33.2416667,-116.7665
37.5645,-118.833
37.3326,-117.1324
36.0095,-117.8018333
36.0085,-117.8018333
36.005,-117.8025
36.008,-117.803
36.008,-117.8046667
36.0103333,-117.804
46.2428333,-122.9671667
60.5929,-152.8169
38.7705002,-122.7503357
40.6666667,-122.2641667
37.1258333,-121.9196667
45.6926667,-122.3778333
36.3119,-96.6997
62.6177,-151.9484
34.1388333,-116.8405
61.6137,-149.8291
65.006,-147.2147
20.0056667,-155.5973333
36.8696667,-121.3101667
33.0566667,-115.0051667
38.9525,-123.4465
36.3065,-96.6916
35.5808,-97.1349
-26.1897,179.5315
40.955,-84.762
61.0188,-146.5938
36.5795,-115.9777
37.5155,-119.349
49.4426667,-120.5236667
17.9139,-66.8718
34.6061667,-118.6415
17.9461,-66.875
38.7177,-119.599
60.8913,-145.9143
38.8400002,-122.8381653
45.7035,-118.4966667
38.9667,142.347
40.4133333,-125.6125
19.1536,-64.897
33.4965,-116.7636667
36.9231,-117.5433
60.0715,-141.1798
38.8293343,-122.8059998
36.0386667,-121.034
53.7973,-166.7879
37.3215,-122.1126667
33.9078333,-117.0606667
-1.5574,101.1902
33.5945,-116.6208333
33.8703333,-117.5065
43.7195,-121.2186667
61.9593,-151.8999
40.284,-124.4216667
38.8156662,-122.8156662
38.8419991,-122.8376694
65.0009,-147.3327
61.2605,-146.8074
19.2918333,-155.3856667
38.4487,-119.2522
36.2933,-96.6724
63.9696,-149.5411
36.3256,68.8932
13.9432,93.6041
6.1821,116.651
61.0578,-151.8036
-5.6527,151.5072
38.8403333,-122.7783333
36.2855,-97.5162
60.709,-140.405
-5.5046,151.9458
38.4117,-119.3738
46.475,-122.4135
38.8133333,-122.8203333
34.033,-117.1696667
38.8318329,-122.7705002
-5.5173,151.9963
38.841,-122.7716667
33.3016667,-116.8081667
38.8343333,-122.7733333
38.8375,-122.7716667
38.8348333,-122.7698333
40.197,-122.589
39.6803333,-121.123
47.5901667,-122.3621667
38.8165,-122.8233333
61.1982,-145.8481
37.6328333,-121.6905
37.6335,-121.6935
39.6808333,-121.1261667
33.5823333,-116.6521667
36.718,-115.9255
36.1865,-117.9975
38.7608333,-122.7248333
36.1815,-117.8785
61.8005,-146.2906
61.9323,-149.2734
38.8115,-122.815
37.2814,-114.6465
62.6333,-151.2783
37.3142,-114.6455
38.8429985,-122.8290024
33.3421667,-116.239
38.8663333,-122.9528333
36.7252,-115.9243
46.578,-119.8493333
38.8370018,-122.7726669
44.6186667,-122.5441667
34.03,-117.2536667
19.403,-155.6276667
37.2668,-114.645
18.1203,-68.0045
60.1665,-141.3372
61.567,-149.8156
53.3337,-163.6325
44.4643333,-110.9726667
61.4479,-141.6262
35.102,-118.8815
61.5334,-149.8351
38.7958333,-122.8131667
36.185,-118
38.7815,-122.7703333
35.7038333,-121.0511667
64.5952,-147.9468
33.9673333,-116.4041667
33.4886667,-116.5198333
38.7998333,-122.8116667
33.4318333,-116.8751667
38.7183,-119.602
61.4498,-150.431
-15.6849,-173.0562
38.7873344,-122.7730026
37.5426667,-118.8501667
37.6848,-117.6285
38.8419991,-122.8300018
38.7165,-119.6095
38.7212,-119.5999
33.1963333,-116.0375
32.5593333,-115.6678333
38.7876663,-122.7764969
38.7855,-122.7673333
63.1227,-150.8866
33.4103333,-118.1898333
34.3056667,-118.4443333
33.412,-116.4326667
46.7953333,-121.9435
41.8654,-119.6273
33.7845,-115.7118333
45.3816667,-121.7285
45.2611,-112.7463
46.855,-121.7623333
33.2191667,-116.3155
51.4727,-176.0863
38.8133316,-122.81633
38.428,-119.2678333
46.8508333,-121.7496667
61.7351,-149.8377
63.0028,-150.4401
38.3959,-119.4065
38.2381667,-122.344
39.4547,-120.3003
38.8154984,-122.8203354
38.8126678,-122.8221664
38.8123333,-122.8196667
36.0631667,-120.084
33.9138333,-117.6875
19.2915,-155.2398333
53.7674,-164.5485
48.0431667,-124.9071667
39.3487,-120.0036
63.2521,-151.1066
28.127,57.2203
61.919,-149.9087
41.0206667,-111.7521667
38.3917,-119.4052
36.4961667,-121.0745
20.0902,121.2409
61.036,-152.2368
39.3524,-120.0117
40.057,-119.7175
37.558,-118.858
37.3058333,-120.023
36.5465,-121.1076667
57.3596,-155.6702
35.7273333,-121.1181667
36.187,-117.8805
-20.0718,-178.4855
40.6271667,-122.4311667
36.2874,-97.541
33.7805,-115.7116667
34.0951667,-116.3961667
39.9052,-120.7182
37.2916,-114.6395
37.2788,-114.6472
35.9096667,-117.6818333
33.2695,-116.774
-20.2171,-178.3343
39.2691,-120.1368
